display_name,works_count,author_id,works_api_url,h_index,country_code
Étienne Ollion,131,https://openalex.org/A5022704573,https://api.openalex.org/works?filter=author.id:A5022704573,17,
Émilien Schultz,114,https://openalex.org/A5079294298,https://api.openalex.org/works?filter=author.id:A5079294298,11,FR
Miriam Schirmer,13,https://openalex.org/A5036764962,https://api.openalex.org/works?filter=author.id:A5036764962,3,
Julia Mendelsohn,23,https://openalex.org/A5038833789,https://api.openalex.org/works?filter=author.id:A5038833789,9,US
Dustin Wright,26,https://openalex.org/A5091326079,https://api.openalex.org/works?filter=author.id:A5091326079,7,DK
Dietram A. Scheufele,327,https://openalex.org/A5064753440,https://api.openalex.org/works?filter=author.id:A5064753440,76,US
Emőke-Ágnes Horvát,72,https://openalex.org/A5004566032,https://api.openalex.org/works?filter=author.id:A5004566032,15,US
Caspar J. Van Lissa,200,https://openalex.org/A5069426228,https://api.openalex.org/works?filter=author.id:A5069426228,36,NL
Jorge Varela Barreras,46,https://openalex.org/A5035315636,https://api.openalex.org/works?filter=author.id:A5035315636,16,ES
Thomas Li‐Ping Tang,251,https://openalex.org/A5008184013,https://api.openalex.org/works?filter=author.id:A5008184013,56,US
Zhong Chen,1232,https://openalex.org/A5100430399,https://api.openalex.org/works?filter=author.id:A5100430399,104,US
Cate Heine,21,https://openalex.org/A5027319334,https://api.openalex.org/works?filter=author.id:A5027319334,7,GB
Paolo Turrini,21,https://openalex.org/A5066749809,https://api.openalex.org/works?filter=author.id:A5066749809,13,IT
Elias Fernández Domingos,31,https://openalex.org/A5056886170,https://api.openalex.org/works?filter=author.id:A5056886170,7,BE
Kristina Gligorić,48,https://openalex.org/A5031039880,https://api.openalex.org/works?filter=author.id:A5031039880,10,
Cinoo Lee,1,https://openalex.org/A5067413576,https://api.openalex.org/works?filter=author.id:A5067413576,1,
Tijana Zrnic,44,https://openalex.org/A5032482329,https://api.openalex.org/works?filter=author.id:A5032482329,10,US
Adel Daoud,143,https://openalex.org/A5090745602,https://api.openalex.org/works?filter=author.id:A5090745602,21,SE
Connor Jerzak,509,https://openalex.org/A5026867670,https://api.openalex.org/works?filter=author.id:A5026867670,5,SE
Mark Whiting,113,https://openalex.org/A5034806125,https://api.openalex.org/works?filter=author.id:A5034806125,19,
Linnea Gandhi,12,https://openalex.org/A5019373396,https://api.openalex.org/works?filter=author.id:A5019373396,8,US
Duncan J. Watts,233,https://openalex.org/A5000679279,https://api.openalex.org/works?filter=author.id:A5000679279,70,US
Egor Kotov,39,https://openalex.org/A5002144560,https://api.openalex.org/works?filter=author.id:A5002144560,2,ES
Johannes Mast,20,https://openalex.org/A5016430518,https://api.openalex.org/works?filter=author.id:A5016430518,6,US
Matthew A. Turner,127,https://openalex.org/A5045839389,https://api.openalex.org/works?filter=author.id:A5045839389,27,US
James Holland Jones,1,https://openalex.org/A5103339024,https://api.openalex.org/works?filter=author.id:A5103339024,1,
Dean Eckles,121,https://openalex.org/A5080265907,https://api.openalex.org/works?filter=author.id:A5080265907,34,US
Carly Kathleen Pires Moreira,1,https://openalex.org/A5024544502,https://api.openalex.org/works?filter=author.id:A5024544502,0,
Brandon Stewart,305,https://openalex.org/A5113226689,https://api.openalex.org/works?filter=author.id:A5113226689,31,US
Lisa P. Argyle,38,https://openalex.org/A5070497645,https://api.openalex.org/works?filter=author.id:A5070497645,12,
Laura E. Nelson,21,https://openalex.org/A5111667138,https://api.openalex.org/works?filter=author.id:A5111667138,12,US
Amir Goldberg,79,https://openalex.org/A5003121162,https://api.openalex.org/works?filter=author.id:A5003121162,18,US
Arnout van de Rijt,106,https://openalex.org/A5081982677,https://api.openalex.org/works?filter=author.id:A5081982677,23,IT
Sarah Williams,123,https://openalex.org/A5033458280,https://api.openalex.org/works?filter=author.id:A5033458280,34,GB
Yaomin Jiang,5,https://openalex.org/A5052305557,https://api.openalex.org/works?filter=author.id:A5052305557,3,CN
Levin Brinkmann,15,https://openalex.org/A5061514105,https://api.openalex.org/works?filter=author.id:A5061514105,5,DE
Anne-Marie Nußberger,34,https://openalex.org/A5086655976,https://api.openalex.org/works?filter=author.id:A5086655976,10,GB
Ivan Soraperra,67,https://openalex.org/A5071006314,https://api.openalex.org/works?filter=author.id:A5071006314,13,DE
JF Bonnefon,1,https://openalex.org/A5039792659,https://api.openalex.org/works?filter=author.id:A5039792659,0,
Iyad Rahwan,335,https://openalex.org/A5009232244,https://api.openalex.org/works?filter=author.id:A5009232244,49,DE
Viola Priesemann,248,https://openalex.org/A5079452617,https://api.openalex.org/works?filter=author.id:A5079452617,37,DE
Pratyusha Kalluri,15,https://openalex.org/A5011684148,https://api.openalex.org/works?filter=author.id:A5011684148,12,US
Maggie Harrington,5,https://openalex.org/A5084552686,https://api.openalex.org/works?filter=author.id:A5084552686,3,US
Esin Durmus,51,https://openalex.org/A5001994692,https://api.openalex.org/works?filter=author.id:A5001994692,19,
Kiara L. Sanchez,5,https://openalex.org/A5025451579,https://api.openalex.org/works?filter=author.id:A5025451579,3,
Nay San,45,https://openalex.org/A5012458624,https://api.openalex.org/works?filter=author.id:A5012458624,7,US
Danny Tse Ngong,1,https://openalex.org/A5079301645,https://api.openalex.org/works?filter=author.id:A5079301645,1,
Xuan Zhao,485,https://openalex.org/A5100342936,https://api.openalex.org/works?filter=author.id:A5100342936,34,CN
Maryam Hamedani,1,https://openalex.org/A5104957006,https://api.openalex.org/works?filter=author.id:A5104957006,1,US
Hazel Rose Markus,324,https://openalex.org/A5020076556,https://api.openalex.org/works?filter=author.id:A5020076556,102,US
Dan Jurafsky,369,https://openalex.org/A5087088138,https://api.openalex.org/works?filter=author.id:A5087088138,84,US
Jennifer L. Eberhardt,93,https://openalex.org/A5054094267,https://api.openalex.org/works?filter=author.id:A5054094267,30,US
Giuliano Cornacchia,24,https://openalex.org/A5081445152,https://api.openalex.org/works?filter=author.id:A5081445152,5,IT
Luca Pappalardo,177,https://openalex.org/A5068819495,https://api.openalex.org/works?filter=author.id:A5068819495,33,IT
Mirco Nanni,155,https://openalex.org/A5009248582,https://api.openalex.org/works?filter=author.id:A5009248582,26,IT
Dino Pedreschi,384,https://openalex.org/A5044898565,https://api.openalex.org/works?filter=author.id:A5044898565,57,IT
Marta C. González,225,https://openalex.org/A5111672074,https://api.openalex.org/works?filter=author.id:A5111672074,55,US
Drew Johnston,29,https://openalex.org/A5031680408,https://api.openalex.org/works?filter=author.id:A5031680408,9,US
Michael Bailey,1221,https://openalex.org/A5009735497,https://api.openalex.org/works?filter=author.id:A5009735497,115,AU
Ayush Kumar,158,https://openalex.org/A5028360618,https://api.openalex.org/works?filter=author.id:A5028360618,34,GB
Theresa Kuchler,97,https://openalex.org/A5006578976,https://api.openalex.org/works?filter=author.id:A5006578976,31,US
Johannes Stroebel,175,https://openalex.org/A5072573663,https://api.openalex.org/works?filter=author.id:A5072573663,47,US
